agency,price,title,address,date,transport,bed,bath,chair
inspired-sales-and-acquisitions-oxford-129967,"£730,000",3 bed town house for sale,"Plater Drive, Oxford OX2",Listed on 16th Feb 2022,"['0.9 miles Oxford', '2.6 miles Oxford Parkway']",3,2,2
hunters-oxford-oxford-36489,"£325,000",1 bed flat for sale,"Church Road, Sandford-On-Thames, Oxford OX4",Listed on 16th Feb 2022,"['1.5 miles Radley', '3.5 miles Oxford']",1,,
connells-headington-oxford-oxford-1990,"£525,000",3 bed semi-detached house for sale,"Forest Road, Headington, Oxford OX3",Listed on 15th Feb 2022,"['3.3 miles Oxford', '4.5 miles Oxford Parkway']",3,1,1
pearce-alder-and-co-oxford-5882,"£139,950",1 bed flat for sale,"Tumbling Bay Court, Henry Road, Oxford OX2",Listed on 15th Feb 2022,"['0.3 miles Oxford', '3.6 miles Oxford Parkway']",1,1,1
chancellors-headington-oxford-13802,"£350,000",2 bed flat for sale,"Central Headington, Oxford OX3",Listed on 15th Feb 2022,"['2.5 miles Oxford', '4.2 miles Oxford Parkway']",2,1,1
jcp-estate-agents-north-oxford-oxford-4235,"£650,000",3 bed terraced house for sale,"Great Clarendon Street, Jericho OX2",Listed on 15th Feb 2022,"['0.3 miles Oxford', '3.2 miles Oxford Parkway']",3,1,1
john-d-wood-and-co-oxford-sales-oxford-15735,"£1,475,000",5 bed semi-detached house for sale,"Woodstock Road, Oxford OX2",Listed on 14th Feb 2022,"['1.3 miles Oxford Parkway', '2.2 miles Oxford']",5,2,2
john-d-wood-and-co-oxford-sales-oxford-15735,"£595,000",4 bed detached house for sale,"Woodstock Close, Oxford OX2",Listed on 14th Feb 2022,"['1.4 miles Oxford Parkway', '2.1 miles Oxford']",4,2,1
chancellors-headington-oxford-13802,"£550,000",4 bed link-detached house for sale,"Headington, Oxford OX3",Listed on 14th Feb 2022,"['3.1 miles Oxford', '4.3 miles Oxford Parkway']",4,2,1
chamberlain-evans-oxford-33362,"£575,000",3 bed terraced house for sale,"Howard Street, Oxford OX4",Listed on 14th Feb 2022,"['1.8 miles Oxford', '3.7 miles Radley']",3,,
breckon-and-breckon-oxford-36492,"£850,000",Property for sale,"Sunderland Avenue, Oxford, Oxfordshire OX2",Listed on 13th Feb 2022,"['1.1 miles Oxford Parkway', '2.4 miles Oxford']",,,
inspired-sales-and-acquisitions-oxford-129967,"£385,000",1 bed flat for sale,"Iffley Road, Oxford OX4",Listed on 11th Feb 2022,"['1.4 miles Oxford', '4.1 miles Radley']",1,1,1
purplebricks-head-office-solihull-58933,"£490,000",3 bed semi-detached house for sale,"Herschel Crescent, Oxford OX4",Listed on 11th Feb 2022,"['2.9 miles Radley', '3 miles Oxford']",3,3,2
chancellors-east-oxford-oxford-13801,"£500,000",3 bed semi-detached house for sale,"Cowley, Oxford OX4",Listed on 11th Feb 2022,"['2.9 miles Radley', '3 miles Oxford']",3,2,2
inspired-sales-and-acquisitions-oxford-129967,"£750,000",3 bed town house for sale,"Dale Close, Oxford OX1",Listed on 11th Feb 2022,"['0.5 miles Oxford', '4 miles Oxford Parkway']",3,3,1
cala-homes-wolvercote-oxford-102137,"£849,950",4 bed terraced house for sale,"""Wolvercote"" at Godstow Road, Wolvercote, Oxford OX2",Listed on 11th Feb 2022,"['1.6 miles Oxford Parkway', '2.3 miles Oxford']",4,,
scott-fraser-summertown-oxford-12784,"£375,000",2 bed flat for sale,"Islip Road, Oxford, Oxfordshire OX2",Listed on 10th Feb 2022,"['1.5 miles Oxford Parkway', '2.2 miles Oxford']",2,,1
express-estate-agency-manchester-15566,"£750,000",3 bed semi-detached house for sale,"William Street, Marston, Oxford OX3",Listed on 10th Feb 2022,"['1.6 miles Oxford', '3.6 miles Oxford Parkway']",3,,
chancellors-headington-oxford-13802,"£750,000",5 bed semi-detached house for sale,"Central Headington, Oxford OX3",Listed on 10th Feb 2022,"['2.5 miles Oxford', '4 miles Oxford Parkway']",5,,
connells-centre-new-homes-milton-keynes-132725,"£320,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
connells-centre-new-homes-milton-keynes-132725,"£320,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
connells-centre-new-homes-milton-keynes-132725,"£320,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
connells-centre-new-homes-milton-keynes-132725,"£280,000",1 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",1,1,1
connells-centre-new-homes-milton-keynes-132725,"£330,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
connells-centre-new-homes-milton-keynes-132725,"£132,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
connells-centre-new-homes-milton-keynes-132725,"£128,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
connells-centre-new-homes-milton-keynes-132725,"£128,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
connells-centre-new-homes-milton-keynes-132725,"£112,000",1 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",1,1,1
connells-centre-new-homes-milton-keynes-132725,"£128,000",2 bed flat for sale,"William Morris Close, Cowley, Oxford OX4",Listed on 10th Feb 2022,"['2.8 miles Oxford', '3.9 miles Radley']",2,2,1
hamptons-oxford-sales-oxford-3628,"£750,000",3 bed detached house for sale,"Eynsham Road, Botley, Oxford OX2",Listed on 10th Feb 2022,"['1.7 miles Oxford', '4 miles Oxford Parkway']",3,3,2
chancellors-headington-oxford-13802,"£425,000",4 bed semi-detached house for sale,"Headington, Oxford OX3",Listed on 10th Feb 2022,"['2 miles Oxford', '3.4 miles Oxford Parkway']",4,1,2
chancellors-botley-oxford-1517,"£300,000",2 bed bungalow for sale,"Oxford, Botley OX2",Listed on 10th Feb 2022,"['1.9 miles Oxford', '4.3 miles Oxford Parkway']",2,1,1
catalyst-newman-place-oxford-116410,"£213,750",1 bed flat for sale,"Armstrong Road, Littlemore, Oxford OX4",Listed on 9th Feb 2022,"['2.2 miles Radley', '3.1 miles Oxford']",1,1,1
catalyst-newman-place-oxford-116410,"£71,250",1 bed flat for sale,"Armstrong Road, Littlemore, Oxford OX4",Listed on 9th Feb 2022,"['2.2 miles Radley', '3.1 miles Oxford']",1,1,1
catalyst-newman-place-oxford-116410,"£114,000",1 bed flat for sale,"Armstrong Road, Littlemore, Oxford OX4",Listed on 9th Feb 2022,"['2.2 miles Radley', '3.1 miles Oxford']",1,1,1
knight-frank-oxford-sales-oxford-36493,"£950,000",4 bed end terrace house for sale,"Stone Meadow, North Oxford OX2",Listed on 9th Feb 2022,"['1.3 miles Oxford', '2.2 miles Oxford Parkway']",4,3,2
breckon-and-breckon-oxford-36492,"£699,950",1 bed flat for sale,"Flat E Mount House, Northmoor Road, Oxford, Oxfordshire OX2",Listed on 9th Feb 2022,"['1.2 miles Oxford', '2.5 miles Oxford Parkway']",1,,
chancellors-headington-oxford-13802,"£550,000",3 bed link-detached house for sale,"Central Headington, Oxford OX3",Listed on 9th Feb 2022,"['2.5 miles Oxford', '4.1 miles Oxford Parkway']",3,2,1
savills-summertown-summertown-80280,POA,6 bed detached house for sale,"Charlbury Road, Oxford OX2",Listed on 9th Feb 2022,"['1.3 miles Oxford', '2.3 miles Oxford Parkway']",6,4,5
savills-summertown-summertown-80280,"£2,850,000",5 bed end terrace house for sale,"St. John Street, Oxford, Oxfordshire OX1",Listed on 9th Feb 2022,"['0.4 miles Oxford', '3.4 miles Oxford Parkway']",5,3,2
penny-and-sinclair-oxford-55334,"£750,000",5 bed end terrace house for sale,"Abingdon Road, Grandpont, Oxford OX1",Listed on 9th Feb 2022,"['1.3 miles Oxford', '3.6 miles Radley']",5,3,2
allen-and-harris-oxford-rose-hill-oxford-20006,"£325,000",1 bed flat for sale,"Hollow Way, Cowley, Oxford OX4",Listed on 8th Feb 2022,"['2.9 miles Oxford', '3.9 miles Radley']",1,1,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£300,000",1 bed flat for sale,"Hollow Way, Cowley, Oxford OX4",Listed on 8th Feb 2022,"['2.9 miles Oxford', '3.9 miles Radley']",1,1,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£300,000",1 bed property for sale,"Hollow Way, Cowley, Oxford OX4",Listed on 8th Feb 2022,"['2.9 miles Oxford', '3.9 miles Radley']",1,1,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£300,000",1 bed flat for sale,"Hollow Way, Cowley, Oxford OX4",Listed on 8th Feb 2022,"['2.9 miles Oxford', '3.9 miles Radley']",1,1,1
chancellors-summertown-oxford-1510,"£550,000",3 bed terraced house for sale,"North Oxford, Oxfordshire OX2",Listed on 8th Feb 2022,"['1.3 miles Oxford Parkway', '2.3 miles Oxford']",3,2,2
chancellors-east-oxford-oxford-13801,"£700,000",4 bed terraced house for sale,"Oxford, Oxfordshire OX4",Listed on 8th Feb 2022,"['1.8 miles Oxford', '4.3 miles Oxford Parkway']",4,1,1
chancellors-east-oxford-oxford-13801,"£550,000",3 bed detached house for sale,"Littlemore, Oxford OX4",Listed on 8th Feb 2022,"['2.1 miles Radley', '3 miles Oxford']",3,1,1
chancellors-headington-oxford-13802,"£350,000",3 bed semi-detached house for sale,"Headington, Oxford OX3",Listed on 7th Feb 2022,"['3.2 miles Oxford', '4.4 miles Oxford Parkway']",3,1,2
jcp-estate-agents-north-oxford-oxford-4235,"£795,000",5 bed property for sale,"Cardigan Street, Jericho OX2",Listed on 7th Feb 2022,"['0.5 miles Oxford', '3.1 miles Oxford Parkway']",5,2,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£500,000",3 bed semi-detached house for sale,"Campbell Road, Oxford OX4",Listed on 7th Feb 2022,"['2.4 miles Oxford', '3.3 miles Radley']",3,1,2
chancellors-headington-oxford-13802,"£1,000,000",4 bed detached house for sale,"Headington, Oxford OX3",Listed on 6th Feb 2022,"['3.2 miles Oxford', '4.5 miles Oxford Parkway']",4,,2
chancellors-headington-oxford-13802,"£500,000",4 bed semi-detached house for sale,"Headington, Oxford OX3",Listed on 4th Feb 2022,"['2.1 miles Oxford', '4 miles Oxford Parkway']",4,2,1
connells-cowley-oxford-1870,"£217,000",2 bed flat for sale,"Barns Road, Oxford OX4",Listed on 4th Feb 2022,"['2.8 miles Oxford', '3.4 miles Radley']",2,2,1
chancellors-headington-oxford-13802,"£675,000",4 bed detached house for sale,"Headington, Oxford OX3",Listed on 4th Feb 2022,"['3.2 miles Oxford', '4.2 miles Radley']",4,2,3
connells-headington-oxford-oxford-1990,"£300,000",2 bed flat for sale,"St. Leonards Road, Headington, Oxford OX3",Listed on 4th Feb 2022,"['2.7 miles Oxford', '4.2 miles Oxford Parkway']",2,1,1
scott-fraser-headington-oxford-6859,"£875,000",4 bed detached house for sale,"Old High Street, Headington, Oxford OX3",Listed on 3rd Feb 2022,"['2.6 miles Oxford', '4 miles Oxford Parkway']",4,2,3
chancellors-east-oxford-oxford-13801,"£450,000",2 bed terraced house for sale,"Cowley, Oxford OX4",Listed on 3rd Feb 2022,"['1.9 miles Oxford', '3.9 miles Radley']",2,1,1
chancellors-east-oxford-oxford-13801,"£425,000",3 bed semi-detached house for sale,"Donnington, Oxford OX4",Listed on 3rd Feb 2022,"['2 miles Oxford', '3.4 miles Radley']",3,1,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£270,000",2 bed flat for sale,"Oxford Road, Littlemore, Oxford OX4",Listed on 3rd Feb 2022,"['2.7 miles Oxford', '2.9 miles Radley']",2,1,1
chancellors-botley-oxford-1517,"£550,000",4 bed detached house for sale,"Botley Road, Oxford OX2",Listed on 2nd Feb 2022,"['0.3 miles Oxford', '3.6 miles Oxford Parkway']",4,,2
chancellors-summertown-oxford-1510,"£650,000",2 bed flat for sale,"Cox's Ground, The Waterways, North Oxford OX2",Listed on 2nd Feb 2022,"['1.3 miles Oxford', '2.2 miles Oxford Parkway']",2,2,1
connells-cowley-oxford-1870,"£365,000",3 bed terraced house for sale,"Nowell Road, Oxford OX4",Listed on 2nd Feb 2022,"['2.5 miles Oxford', '2.7 miles Radley']",3,2,1
chamberlain-evans-oxford-33362,"£287,500",2 bed terraced house for sale,"Three Corners Road, Garsington, Oxford OX4",Listed on 2nd Feb 2022,"['3.3 miles Radley', '4.2 miles Oxford']",2,,
taylors-oxford-city-sales-oxford-28238,"£260,000",3 bed maisonette for sale,"Friars Wharf, Oxford, Oxfordshire OX1",Listed on 2nd Feb 2022,"['0.6 miles Oxford', '4 miles Oxford Parkway']",3,1,1
qpc-retirement-sales-reading-reading-84779,"£420,000",2 bed flat for sale,"Goring Lodge, Pegasus Grange, White House Road, Oxford OX1",Listed on 1st Feb 2022,"['0.9 miles Oxford', '4 miles Radley']",2,1,1
connells-cowley-oxford-1870,"£200,000",2 bed flat for sale,"Blay Close, Oxford OX4",Listed on 1st Feb 2022,"['3.1 miles Radley', '3.7 miles Oxford']",2,1,1
chancellors-headington-oxford-13802,"£120,000",1 bed flat for sale,"Old Headington, Oxford OX3",Listed on 31st Jan 2022,"['2.7 miles Oxford', '3.9 miles Oxford Parkway']",1,1,1
chancellors-headington-oxford-13802,"£115,000",Studio for sale,"Old Headington, Oxford OX3",Listed on 31st Jan 2022,"['2.7 miles Oxford', '3.9 miles Oxford Parkway']",,1,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£325,000",2 bed semi-detached house for sale,"Broadfields, Littlemore, Oxford OX4",Listed on 31st Jan 2022,"['2.8 miles Radley', '3.4 miles Oxford']",2,1,1
chancellors-summertown-oxford-1510,"£425,000",2 bed flat for sale,"Mere Road, Upper Wolvecote, North Oxford OX2",Listed on 29th Jan 2022,"['1.3 miles Oxford Parkway', '2.3 miles Oxford']",2,1,1
chancellors-east-oxford-oxford-13801,"£400,000",3 bed terraced house for sale,"Cowley, Oxford OX4",Listed on 28th Jan 2022,"['1.9 miles Oxford', '3.9 miles Radley']",3,1,2
breckon-and-breckon-oxford-36492,"£800,000",3 bed terraced house for sale,"Baynhams Drive, Wolvercote, Oxfordshire OX2",Listed on 27th Jan 2022,"['1.1 miles Oxford Parkway', '2.4 miles Oxford']",3,,
inspired-sales-and-acquisitions-oxford-129967,"£650,000",2 bed terraced house for sale,"Cranham Street, Oxford OX2",Listed on 26th Jan 2022,"['0.4 miles Oxford', '3.1 miles Oxford Parkway']",2,1,1
chancellors-headington-oxford-13802,"£300,000",1 bed detached bungalow for sale,"Headington, Oxford OX3",Listed on 25th Jan 2022,"['3 miles Oxford', '4.1 miles Oxford Parkway']",1,1,1
chancellors-headington-oxford-13802,"£450,000",3 bed detached bungalow for sale,"Headington, Oxford OX3",Listed on 25th Jan 2022,"['3 miles Oxford', '4.1 miles Oxford Parkway']",3,2,2
scott-fraser-headington-oxford-6859,"£500,000",3 bed terraced house for sale,"Elton Close, Headington, Oxford OX3",Listed on 21st Jan 2022,"['3.9 miles Oxford', '4.9 miles Oxford Parkway']",3,2,3
chancellors-summertown-oxford-1510,"£550,000",2 bed flat for sale,"Frenchay Road, Waterways, Oxford OX2",Listed on 21st Jan 2022,"['1.3 miles Oxford', '2.2 miles Oxford Parkway']",2,2,1
alistair-redhouse-estate-agents-ltd-kidlington-55447,"£235,000",1 bed flat for sale,"Banbury Road, Oxford OX2",Listed on 20th Jan 2022,"['1.4 miles Oxford', '2.1 miles Oxford Parkway']",1,1,1
chancellors-botley-oxford-1517,"£120,000",1 bed flat for sale,"Botley, Oxford OX2",Listed on 20th Jan 2022,"['0.3 miles Oxford', '3.6 miles Oxford Parkway']",1,1,1
scott-fraser-east-oxford-oxfordshire-12785,"£550,000",5 bed semi-detached house for sale,"Rose Hill, Oxford OX4",Listed on 20th Jan 2022,"['2.3 miles Oxford', '3.2 miles Radley']",5,2,2
scott-fraser-headington-oxford-6859,"£600,000",3 bed semi-detached house for sale,"Wilberforce Street, Headington, Oxford OX3",Listed on 20th Jan 2022,"['2.5 miles Oxford', '4.3 miles Oxford Parkway']",3,1,2
chancellors-summertown-oxford-1510,"£425,000",2 bed maisonette for sale,"Summertown, Oxford OX2",Listed on 20th Jan 2022,"['1.5 miles Oxford', '2 miles Oxford Parkway']",2,,
scott-fraser-headington-oxford-6859,"£900,000",5 bed detached house for sale,"Stephen Road, Headington, Oxford OX3",Listed on 19th Jan 2022,"['2.5 miles Oxford', '4 miles Oxford Parkway']",5,2,3
chancellors-headington-oxford-13802,"£750,000",3 bed detached house for sale,"Central Headington, Oxford OX3",Listed on 19th Jan 2022,"['2.3 miles Oxford', '4.3 miles Oxford Parkway']",3,2,1
chancellors-summertown-oxford-1510,"£325,000",2 bed flat for sale,"Five Mile Drive, North Oxford OX2",Listed on 18th Jan 2022,"['1.1 miles Oxford Parkway', '2.5 miles Oxford']",2,1,1
chancellors-headington-oxford-13802,"£220,000",2 bed flat for sale,"Headington, Oxford OX3",Listed on 18th Jan 2022,"['3.1 miles Oxford', '4.7 miles Radley']",2,1,1
chancellors-summertown-oxford-1510,"£625,000",Land for sale,"Land On Linkside Avenue, North Oxford, Oxfordshire OX2",Listed on 18th Jan 2022,"['0.7 miles Oxford Parkway', '2.7 miles Islip']",,,
scott-fraser-headington-oxford-6859,"£1,250,000",4 bed end terrace house for sale,"Stoke Place, Headington, Oxford OX3",Listed on 17th Jan 2022,"['2.6 miles Oxford', '3.7 miles Oxford Parkway']",4,1,3
scott-fraser-headington-oxford-6859,"£1,100,000",4 bed semi-detached house for sale,"William Orchard Close, Headington, Oxford OX3",Listed on 14th Jan 2022,"['2.6 miles Oxford', '3.8 miles Oxford Parkway']",4,2,3
catalyst-newman-place-oxford-116410,"£85,625",2 bed flat for sale,"Armstrong Road, Littlemore, Oxford OX4",Listed on 14th Jan 2022,"['2.2 miles Radley', '3.1 miles Oxford']",2,2,1
catalyst-newman-place-oxford-116410,"£137,000",2 bed flat for sale,"Armstrong Road, Littlemore, Oxford OX4",Listed on 14th Jan 2022,"['2.2 miles Radley', '3.1 miles Oxford']",2,2,1
catalyst-newman-place-oxford-116410,"£256,875",2 bed flat for sale,"Armstrong Road, Littlemore, Oxford OX4",Listed on 14th Jan 2022,"['2.2 miles Radley', '3.1 miles Oxford']",2,2,1
chancellors-headington-oxford-13802,"£425,000",3 bed semi-detached house for sale,"Headington, Oxford OX3",Listed on 14th Jan 2022,"['2.8 miles Oxford', '4.3 miles Radley']",3,1,3
chancellors-east-oxford-oxford-13801,"£220,000",2 bed flat for sale,"Littlemore, Oxford OX4",Listed on 14th Jan 2022,"['2.5 miles Radley', '3.2 miles Oxford']",2,1,1
chancellors-headington-oxford-13802,"£300,000",1 bed flat for sale,"Headington, Oxford OX3",Listed on 14th Jan 2022,"['2.5 miles Oxford', '3.4 miles Oxford Parkway']",1,,
chancellors-east-oxford-oxford-13801,"£315,000",3 bed terraced house for sale,"Littlemore, Oxford OX4",Listed on 14th Jan 2022,"['2.8 miles Radley', '2.8 miles Oxford']",3,1,1
penny-and-sinclair-oxford-55334,"£350,000",1 bed property for sale,"The Cloisters, Grandpont, Oxford OX1",Listed on 13th Jan 2022,"['0.8 miles Oxford', '4.1 miles Radley']",1,1,1
taylors-oxford-city-sales-oxford-28238,"£240,000",2 bed flat for sale,"Lizmans Court, Silkdale Close, Oxford, Oxfordshire OX4",Listed on 13th Jan 2022,"['2.8 miles Oxford', '3.7 miles Radley']",2,1,1
allen-and-harris-oxford-rose-hill-oxford-20006,"£265,000",2 bed flat for sale,"Iffley Road, Oxford OX4",Listed on 12th Jan 2022,"['1.8 miles Oxford', '3.6 miles Radley']",2,1,1
jcp-estate-agents-east-oxford-oxford-63448,"£395,000",2 bed semi-detached house for sale,"Chester Street, Iffley Fields OX4",Listed on 12th Jan 2022,"['1.5 miles Oxford', '3.9 miles Radley']",2,1,1
alistair-redhouse-estate-agents-ltd-kidlington-55447,"£500,000",3 bed terraced house for sale,"Turner Drive, Oxford OX2",Listed on 12th Jan 2022,"['1.3 miles Oxford', '4.4 miles Oxford Parkway']",3,3,1
john-d-wood-and-co-oxford-sales-oxford-15735,"£995,000",3 bed detached house for sale,"Godstow Road, Wolvercote, Oxford OX2",Listed on 10th Jan 2022,"['1.9 miles Oxford Parkway', '2.3 miles Oxford']",3,1,2
knight-frank-oxford-sales-oxford-36493,"£825,000",4 bed end terrace house for sale,"Maywood Road, Iffley, Oxford OX4",Listed on 10th Jan 2022,"['2.1 miles Oxford', '3.3 miles Radley']",4,3,1
fine-and-country-birmingham-birmingham-83329,"£575,000",4 bed detached house for sale,"Shotover Kilns, Headington, Oxford, Oxfordshire OX3",Listed on 7th Jan 2022,"['3.3 miles Oxford', '4.9 miles Oxford Parkway']",4,2,1
connells-cowley-oxford-1870,"£240,000",1 bed flat for sale,"Kestrel Crescent, Littlemore, Oxford OX4",Listed on 7th Jan 2022,"['2.9 miles Radley', '3.5 miles Oxford']",1,1,1
chancellors-east-oxford-oxford-13801,"£400,000",4 bed detached house for sale,"Blackbird Leys, Oxford OX4",Listed on 7th Jan 2022,"['3.4 miles Radley', '3.9 miles Oxford']",4,1,1
chancellors-headington-oxford-13802,"£230,000",2 bed flat for sale,"Headington, Oxford OX3",Listed on 6th Jan 2022,"['3.2 miles Oxford', '4.3 miles Oxford Parkway']",2,,
knight-frank-oxford-sales-oxford-36493,"£1,375,000",5 bed detached house for sale,"Dean Court Road, Oxford, Oxfordshire OX2",Listed on 6th Jan 2022,"['1.8 miles Oxford', '4.3 miles Oxford Parkway']",5,2,4
alistair-redhouse-estate-agents-ltd-kidlington-55447,"£650,000",4 bed semi-detached house for sale,"Stylish Restoration Of Period Family Home, Oxford OX2",Listed on 5th Jan 2022,"['1.1 miles Oxford', '3.9 miles Oxford Parkway']",4,3,2
chancellors-east-oxford-oxford-13801,"£475,000",5 bed semi-detached house for sale,"Cowley, Oxfordshire OX4",Listed on 5th Jan 2022,"['3.1 miles Oxford', '4.1 miles Radley']",5,1,1
savills-summertown-rds-oxford-106691,"£849,950",4 bed terraced house for sale,"Wolvercote Mill, Mill Road, Wolvercote, Oxford OX2",Listed on 4th Jan 2022,"['1.7 miles Oxford Parkway', '2.3 miles Oxford']",4,2,2
chamberlain-evans-oxford-33362,"£400,000",2 bed semi-detached house for sale,"Fox Crescent, Oxford OX1",Listed on 4th Jan 2022,"['1.6 miles Oxford', '3.4 miles Radley']",2,,
chancellors-botley-oxford-1517,"£260,000",2 bed flat for sale,"Botley, Oxford OX2",Listed on 4th Jan 2022,"['1.3 miles Oxford', '4.3 miles Oxford Parkway']",2,2,1
chancellors-east-oxford-oxford-13801,"£350,000",2 bed flat for sale,"Littlemore, Oxford OX4",Listed on 4th Jan 2022,"['2.2 miles Radley', '3.1 miles Oxford']",2,1,1
purplebricks-head-office-solihull-58933,"£550,000",4 bed semi-detached house for sale,"Bulan Road, Oxford OX3",Listed on 30th Dec 2021,"['2.9 miles Oxford', '4.4 miles Radley']",4,3,2
chamberlain-evans-oxford-33362,"£475,000",3 bed terraced house for sale,"Bay Tree Close, Iffley, Oxford OX4",Listed on 30th Dec 2021,"['2.3 miles Oxford', '3.1 miles Radley']",3,,
doorsteps-co-uk-national-harrow-75489,"£695,000",5 bed semi-detached house for sale,"White Road, Cowley, Oxford OX4",Listed on 28th Dec 2021,"['3.1 miles Oxford', '3.9 miles Radley']",5,3,3
penny-and-sinclair-oxford-55334,"£530,000",3 bed semi-detached house for sale,"Lytton Road, Florence Park OX4",Listed on 26th Dec 2021,"['2.4 miles Oxford', '3.4 miles Radley']",3,2,1
alistair-redhouse-estate-agents-ltd-kidlington-55447,"£575,000",3 bed flat for sale,"The Brambles, Headington, Oxford OX3",Listed on 23rd Dec 2021,"['2.3 miles Oxford', '4.1 miles Oxford Parkway']",3,1,1
chancellors-east-oxford-oxford-13801,"£375,000",3 bed terraced house for sale,"Florence Park, Oxford OX4",Listed on 23rd Dec 2021,"['2.5 miles Oxford', '3.6 miles Radley']",3,1,1
chancellors-summertown-oxford-1510,"£435,000",2 bed flat for sale,"Summertown, North Oxford OX2",Listed on 20th Dec 2021,"['1.5 miles Oxford', '2.2 miles Oxford Parkway']",2,1,1
martin-and-co-oxford-and-thame-oxford-15909,"£568,000",2 bed flat for sale,"St. Thomas Street, Oxford OX1",Listed on 17th Dec 2021,"['0.3 miles Oxford', '3.7 miles Oxford Parkway']",2,2,1
chancellors-east-oxford-oxford-13801,"£825,000",5 bed end terrace house for sale,"East Oxford, Oxford OX4",Listed on 16th Dec 2021,"['1.5 miles Oxford', '4.2 miles Oxford Parkway']",5,2,2
scott-fraser-east-oxford-oxfordshire-12785,"£500,000",3 bed end terrace house for sale,"Crescent Road, Cowley, Oxford OX4",Listed on 15th Dec 2021,"['2.6 miles Oxford', '3.8 miles Radley']",3,2,1
connells-headington-oxford-oxford-1990,"£290,000",1 bed flat for sale,"Cholesbury Grange, Headington, Oxford OX3",Listed on 15th Dec 2021,"['2 miles Oxford', '3.4 miles Oxford Parkway']",1,1,1
chancellors-headington-oxford-13802,"£475,000",3 bed semi-detached house for sale,"Headington, Oxford OX3",Listed on 15th Dec 2021,"['2.4 miles Oxford', '3.3 miles Oxford Parkway']",3,1,2
connells-headington-oxford-oxford-1990,"£435,000",3 bed semi-detached house for sale,"Claymond Road, Headington, Oxford OX3",Listed on 9th Dec 2021,"['3.5 miles Oxford', '4.6 miles Oxford Parkway']",3,1,1
scott-fraser-summertown-oxford-12784,"£325,000",1 bed flat for sale,"Marston Ferry Court, Marston Ferry Road, Oxford OX2",Listed on 7th Dec 2021,"['1.5 miles Oxford', '2.1 miles Oxford Parkway']",1,1,1
chancellors-headington-oxford-13802,"£325,000",4 bed semi-detached house for sale,"Headington, Oxfordshire OX3",Listed on 7th Dec 2021,"['3.5 miles Oxford', '4.4 miles Oxford Parkway']",4,1,2
chancellors-headington-oxford-13802,"£250,000",1 bed flat for sale,"Marston, Oxford OX3",Listed on 7th Dec 2021,"['1.7 miles Oxford', '3 miles Oxford Parkway']",1,1,1
chancellors-east-oxford-oxford-13801,"£255,000",3 bed maisonette for sale,"Blackbird Leys, Oxford OX4",Listed on 6th Dec 2021,"['3.3 miles Radley', '3.7 miles Oxford']",3,1,1
chancellors-summertown-oxford-1510,"£350,000",1 bed flat for sale,"Eagle Works, Walton Well Road, Jericho, North Oxford OX2",Listed on 3rd Dec 2021,"['0.6 miles Oxford', '3 miles Oxford Parkway']",1,1,1
inspired-sales-and-acquisitions-oxford-129967,"£475,000",3 bed detached house for sale,"Gidley Way, Horspath, Oxford OX33",Listed on 3rd Dec 2021,"['4.4 miles Oxford', '4.7 miles Radley']",3,2,2
chancellors-east-oxford-oxford-13801,"£220,000",2 bed flat for sale,"Littlemore, Oxford OX4",Listed on 2nd Dec 2021,"['2.4 miles Radley', '3.2 miles Oxford']",2,1,1
wallers-estate-agents-oxford-76958,"£350,000",3 bed flat for sale,"Kendall Crescent, Oxford OX2",Listed on 1st Dec 2021,"['1.1 miles Oxford Parkway', '2.5 miles Oxford']",3,1,1
