agency,price,title,address,date,transport,bed,bath,chair
connells-cowley-oxford-1870,"£485,000",3 bed terraced house for sale,"Campbell Road, Oxford OX4",Listed on 7th Mar 2022,"['2.4 miles Oxford', '3.3 miles Radley']",3,1,1
purplebricks-head-office-solihull-58933,"£450,000",2 bed semi-detached house for sale,"Lawn Upton Close, Oxford OX4",Listed on 7th Mar 2022,"['2.5 miles Radley', '3.1 miles Oxford']",2,2,3
cherry-picked-residential-summertown-90658,"£700,000",3 bed end terrace house for sale,"Jackson Road, Oxford OX2",Listed on 7th Mar 2022,"['1.3 miles Oxford Parkway', '2.3 miles Oxford']",3,2,1
chancellors-east-oxford-oxford-13801,"£375,000",4 bed end terrace house for sale,"Oxford, Blackbird Leys OX4",Listed on 7th Mar 2022,"['3.3 miles Radley', '3.7 miles Oxford']",4,2,1
hamptons-oxford-sales-oxford-3628,"£700,000",3 bed end terrace house for sale,"Jackson Road, Oxford, Oxfordshire OX2",Listed on 7th Mar 2022,"['1.4 miles Oxford Parkway', '2.2 miles Oxford']",3,2,1
chamberlain-evans-oxford-33362,"£650,000",4 bed semi-detached house for sale,"Percy Street, Oxford OX4",Listed on 5th Mar 2022,"['1.8 miles Oxford', '3.9 miles Radley']",4,,
scott-fraser-headington-oxford-6859,"£275,000",2 bed flat for sale,"Three Fields, Headington, Oxford OX3",Listed on 4th Mar 2022,"['3 miles Oxford', '4.5 miles Radley']",2,1,1
hodsons-abingdon-37447,"£675,000",4 bed detached house for sale,"Woodcroft, Kennington, Oxford OX1",Listed on 4th Mar 2022,"['2.1 miles Radley', '2.7 miles Oxford']",4,2,2
wallers-estate-agents-oxford-76958,"£240,000",1 bed flat for sale,"Pheasant Walk, Littlemore, Oxford OX4",Listed on 4th Mar 2022,"['2.2 miles Radley', '3 miles Oxford']",1,1,1
scott-fraser-east-oxford-oxfordshire-12785,"£270,000",1 bed flat for sale,"Circus Street, Oxford OX4",Listed on 4th Mar 2022,"['1.3 miles Oxford', '4.1 miles Oxford Parkway']",1,1,
chancellors-east-oxford-oxford-13801,"£500,000",5 bed semi-detached house for sale,"Cowley, Oxford OX4",Listed on 4th Mar 2022,"['2.7 miles Oxford', '2.9 miles Radley']",5,2,1
alistair-redhouse-estate-agents-ltd-kidlington-55447,"£200,000",1 bed flat for sale,"Banbury Road, Oxford OX2",Listed on 4th Mar 2022,"['1.4 miles Oxford', '2.1 miles Oxford Parkway']",1,1,1
alistair-redhouse-estate-agents-ltd-kidlington-55447,"£235,000",1 bed flat for sale,"Banbury Road, Oxford OX2",Listed on 4th Mar 2022,"['1.4 miles Oxford', '2.1 miles Oxford Parkway']",1,1,1
scott-fraser-headington-oxford-6859,"£425,000",2 bed terraced house for sale,"Lynn Close, Marston, Oxford OX3",Listed on 3rd Mar 2022,"['1.7 miles Oxford', '3.3 miles Oxford Parkway']",2,1,1
chamberlain-evans-oxford-33362,"£550,000",3 bed semi-detached house for sale,"Crescent Road, Cowley, Oxford OX4",Listed on 3rd Mar 2022,"['2.6 miles Oxford', '3.8 miles Radley']",3,,
jcp-estate-agents-north-oxford-oxford-4235,"£1,450,000",4 bed property for sale,"Southmoor Road, Walton Manor OX2",Listed on 3rd Mar 2022,"['0.8 miles Oxford', '2.7 miles Oxford Parkway']",4,2,2
allen-and-harris-oxford-rose-hill-oxford-20006,"£300,000",2 bed flat for sale,"Fairlie Road, Oxford OX4",Listed on 3rd Mar 2022,"['2.8 miles Oxford', '3 miles Radley']",2,1,
scott-fraser-headington-oxford-6859,"£225,000",1 bed flat for sale,"Marston Road, Marston, Oxford OX3",Listed on 3rd Mar 2022,"['1.9 miles Oxford', '3.1 miles Oxford Parkway']",1,1,1
savills-summertown-summertown-80280,"£375,000",2 bed flat for sale,"Priory Court, 64 Jackson Road, Oxford OX2",Listed on 3rd Mar 2022,"['1.2 miles Oxford Parkway', '2.4 miles Oxford']",2,2,
chancellors-botley-oxford-1517,"£600,000",3 bed semi-detached house for sale,"Cumnor, Oxford OX2",Listed on 3rd Mar 2022,"['2.6 miles Oxford', '5 miles Radley']",3,2,2
martin-and-co-oxford-and-thame-oxford-15909,"£280,000",1 bed flat for sale,"Marlborough Road, Oxford OX1",Listed on 3rd Mar 2022,"['0.9 miles Oxford', '4 miles Radley']",1,1,1
scott-fraser-headington-oxford-6859,"£1,350,000",6 bed flat for sale,"Mather Road, Headington, Oxford OX3",Listed on 2nd Mar 2022,"['3.4 miles Oxford', '4.3 miles Oxford Parkway']",6,6,6
john-d-wood-and-co-oxford-sales-oxford-15735,"£975,000",4 bed detached house for sale,"Cumnor Hill, Oxford OX2",Listed on 2nd Mar 2022,"['2.1 miles Oxford', '4.8 miles Radley']",4,3,3
purplebricks-head-office-solihull-58933,"£365,000",2 bed terraced house for sale,"Taverner Place, Oxford OX3",Listed on 2nd Mar 2022,"['1.7 miles Oxford', '3.2 miles Oxford Parkway']",2,1,1
connells-headington-oxford-oxford-1990,"£550,000",2 bed semi-detached house for sale,"Osler Road, Headington, Oxford OX3",Listed on 2nd Mar 2022,"['2.5 miles Oxford', '4 miles Oxford Parkway']",2,1,1
breckon-and-breckon-new-homes-oxford-120894,"£90,000",1 bed flat for sale,"Plot 8, Cannon Court, Oxford, Oxfordshire OX2",Listed on 2nd Mar 2022,"['1.1 miles Oxford Parkway', '2.5 miles Oxford']",1,,
connells-headington-oxford-oxford-1990,"£650,000",3 bed town house for sale,"Barton Fields Road, Headington, Oxford OX3",Listed on 2nd Mar 2022,"['2.6 miles Oxford', '3.3 miles Oxford Parkway']",3,3,2
cherry-picked-residential-summertown-90658,"£200,000",1 bed flat for sale,"Queens Close, Botley, Oxford OX2",Listed on 2nd Mar 2022,"['1.8 miles Oxford', '4.2 miles Oxford Parkway']",1,1,1
taylors-oxford-city-sales-oxford-28238,"£275,000",3 bed maisonette for sale,"Stanway Road, Headington, Oxford, Oxfordshire OX3",Listed on 2nd Mar 2022,"['3.5 miles Oxford', '4.8 miles Oxford Parkway']",3,2,1
scott-fraser-summertown-oxford-12784,"£400,000",2 bed flat for sale,"Woodstock Close, Oxford OX2",Listed on 1st Mar 2022,"['1.3 miles Oxford Parkway', '2.2 miles Oxford']",2,1,1
scott-fraser-east-oxford-oxfordshire-12785,"£725,000",5 bed semi-detached house for sale,"Glanville Road, Oxford OX4",Listed on 1st Mar 2022,"['2.2 miles Oxford', '4 miles Radley']",5,2,3
penny-and-sinclair-summertown-16670,"£975,000",3 bed semi-detached house for sale,"Rogers Street, Summertown OX2",Listed on 1st Mar 2022,"['1.7 miles Oxford Parkway', '1.8 miles Oxford']",3,2,2
penny-and-sinclair-summertown-16670,"£460,000",2 bed flat for sale,"Bishop Kirk Place, Summertown OX2",Listed on 1st Mar 2022,"['1.7 miles Oxford Parkway', '1.8 miles Oxford']",2,2,1
scott-fraser-headington-oxford-6859,"£595,000",3 bed semi-detached house for sale,"Valentia Road, Headington, Oxford OX3",Listed on 1st Mar 2022,"['2.2 miles Oxford', '4.1 miles Oxford Parkway']",3,2,1
chancellors-botley-oxford-1517,"£1,650,000",4 bed detached house for sale,"Cumnor Hill, Oxford OX2",Listed on 1st Mar 2022,"['2.1 miles Oxford', '4.8 miles Oxford Parkway']",4,3,3
john-d-wood-and-co-oxford-sales-oxford-15735,"£580,000",2 bed flat for sale,"Oxford Castle, New Road, Oxford OX1",Listed on 1st Mar 2022,"['0.4 miles Oxford', '3.7 miles Oxford Parkway']",2,1,1
chancellors-botley-oxford-1517,"£525,000",4 bed detached house for sale,"West Oxford, Oxfordshire OX2",Listed on 1st Mar 2022,"['1.6 miles Oxford', '3.9 miles Oxford Parkway']",4,1,2
scott-fraser-summertown-oxford-12784,"£350,000",2 bed flat for sale,"Queensgate, Five Mile Drive, Oxford OX2",Listed on 28th Feb 2022,"['1.1 miles Oxford Parkway', '2.5 miles Oxford']",2,1,1
chancellors-botley-new-homes-oxford-63343,"£290,000",1 bed flat for sale,"Apartment 1, Linden House, Eynsham Road, Botley, Oxfordshire OX2",Listed on 28th Feb 2022,"['1.5 miles Oxford', '3.9 miles Oxford Parkway']",1,,1
